order_id,customer_id,product,region,quantity,amount,order_date,status
ORD-1049,CUST-115,Monitor,East,2,239.0,2026-08-14,completed
ORD-1050,CUST-128,Cable,West,4,159.07,2026-08-17,completed
ORD-1051,CUST-155,Headset,East,4,188.23,2026-08-12,completed
ORD-1052,CUST-146,Notebook,East,5,420.92,2026-08-11,completed
ORD-1053,CUST-142,Mouse,North,1,886.8,2026-08-16,completed
ORD-1054,CUST-110,Mouse,East,1,816.72,2026-08-11,completed
ORD-1055,CUST-116,Headset,East,4,147.19,2026-08-14,pending
ORD-1056,CUST-163,Dock,North,3,65.91,2026-08-19,completed
ORD-1057,CUST-109,Mouse,North,1,724.44,2026-08-16,completed
ORD-1058,CUST-128,Cable,East,1,416.59,2026-08-19,completed
ORD-1059,CUST-153,Mouse,South,1,481.32,,completed
ORD-1060,CUST-120,Mouse,North,2,193.56,2026-08-11,completed
ORD-1061,CUST-167,Keyboard,East,4,457.58,2026-08-14,completed
ORD-1062,CUST-144,Notebook,East,1,28.58,2026-08-14,pending
ORD-1063,CUST-124,Webcam,South,4,109.06,2026-08-18,returned
ORD-1064,CUST-169,Headset,East,2,884.46,2026-08-17,completed
ORD-1065,CUST-117,Headset,East,1,755.73,2026-08-13,completed
ORD-1066,CUST-180,Mouse,West,2,64.03,2026-08-11,returned
ORD-1067,CUST-136,Keyboard,East,1,421.62,2026-08-18,completed
ORD-1068,CUST-157,Notebook,East,3,866.18,2026-08-14,pending
ORD-1069,CUST-131,Notebook,East,2,330.58,2026-08-15,completed
ORD-1070,CUST-148,Cable,West,3,459.95,2026-08-15,completed
ORD-1071,CUST-164,Notebook, north ,3,738.08,2026-08-13,completed
ORD-1072,CUST-175,Notebook,West,1,280.19,2026-08-16,completed
ORD-1073,CUST-174,Monitor,West,3,652.8,2026-08-11,returned
ORD-1074,CUST-136,Monitor,North,5,570.19,2026-08-12,pending
ORD-1075,CUST-167,Notebook,South,1,42.58,2026-08-12,completed
ORD-1076,CUST-113,Headset,West,5,59.94,2026-08-15,completed
ORD-1077,CUST-131,Webcam,East,1,419.4,2026-08-18,completed
ORD-1078,CUST-168,Cable,North,4,238.19,2026-08-18,completed
ORD-1079,CUST-130,Keyboard,South,4,452.14,2026-08-14,returned
ORD-1080,CUST-161,Mouse,North,5,575.02,2026-08-11,completed
ORD-1081,CUST-176,Monitor,East,3,591.61,2026-08-11,completed
ORD-1082,CUST-172,Monitor,North,4,-45.00,2026-08-19,completed
ORD-1083,CUST-127,Webcam,East,5,267.71,2026-08-11,returned
ORD-1084,CUST-115,Keyboard,East,1,843.59,2026-08-17,completed
ORD-1085,CUST-158,Cable,West,3,357.36,2026-08-14,completed
ORD-1086,CUST-174,Cable,South,5,246.7,2026-08-11,completed
ORD-1087,CUST-177,Mouse,North,3,219.77,2026-08-12,returned
ORD-1088,CUST-103,Monitor,North,4,618.21,2026-08-16,returned
ORD-1089,CUST-118,Headset,East,4,294.73,2026-08-14,completed
ORD-1090,CUST-141,Dock,West,1,846.79,2026-08-10,completed
ORD-1091,CUST-137,Mouse,East,1,362.72,2026-08-10,pending
ORD-1092,CUST-146,Headset,East,1,263.36,2026-08-11,completed
ORD-1093,CUST-119,Keyboard,East,4,467.2,2026-08-14,completed
ORD-1094,CUST-154,Notebook,West,5,501.07,2026-08-15,completed
ORD-1095,CUST-152,Webcam,South,3,444.73,2026-08-10,pending
ORD-1096,CUST-121,Webcam,West,3,264.35,2026-08-12,completed
ORD-1097,CUST-151,Keyboard,East,4,508.23,2026-08-14,returned
ORD-1098,CUST-121,Monitor,North,2,458.04,2026-08-11,returned
ORD-1099,CUST-128,Webcam,East,4,393.27,2026-08-18,pending
ORD-1100,CUST-131,Cable,South,3,506.95,2026-08-13,completed
ORD-1004,CUST-180,Notebook,West,1,878.99,2026-08-13,completed
ORD-1016,CUST-150,Webcam,North,2,422.53,2026-08-16,pending
